"id","product_code","product_name","product_type","product_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"67","12220004173","ASZ-天线罩 648201-1830","-1","ASZ-天线罩 648201-1830","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"68","12220005045","ASZ-玻璃钢天线罩 657347-1","-1","ASZ-玻璃钢天线罩 657347-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"69","12220002800","RFS-天线罩 1A2039","-1","RFS-天线罩 1A2039","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"70","12220001661","RFS-玻璃钢天线罩 30036115","-1","RFS-玻璃钢天线罩 30036115","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"71","12220004608","ASZ-天线罩 624767-3","-1","ASZ-天线罩 624767-3","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"72","12220000665","ASZ-天线罩 A991-1937-09","-1","ASZ-天线罩 A991-1937-09","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"73","12220005724","MDA-东芝T07控制面板组件 1400单洗玉兰白 12138100022523","-1","MDA-东芝T07控制面板组件 1400单洗玉兰白 12138100022523","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"74","12220005987","MDA-控制面板组件 中东1400洗干 12138100022526","-1","MDA-控制面板组件 中东1400洗干 12138100022526","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"75","12220005986","MDA-控制面板组件 中东1400单洗 12138100022527","-1","MDA-控制面板组件 中东1400单洗 12138100022527","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"76","12220005363","MDA-东芝T07控制面板组件 1400洗干 玉兰白12138100022524","-1","MDA-东芝T07控制面板组件 1400洗干 玉兰白12138100022524","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"77","12220001480","JLE-天线罩 23-328-03","-1","JLE-天线罩 23-328-03","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"78","12220007382","MDA-CLGQ10单洗控制面板组件 12138100025404","-1","MDA-CLGQ10单洗控制面板组件 12138100025404","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"79","12220000052","ASZ-天线罩 A991-1054-2629.5","-1","ASZ-天线罩 A991-1054-2629.5","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"80","12220004041","ASZ-天线罩 626706-1","-1","ASZ-天线罩 626706-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"81","12220003254","ASZ-天线罩 628442-2","-1","ASZ-天线罩 628442-2","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"82","12220002769","RFS-天线罩JK 1A2515","-1","RFS-天线罩JK 1A2515","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"83","12220000837","ASZ-天线罩 D406-0111","-1","ASZ-天线罩 D406-0111","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"84","12220002805","RFS-天线罩 30039676","-1","RFS-天线罩 30039676","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"85","12220002804","RFS-天线罩 30039388","-1","RFS-天线罩 30039388","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"86","12220003310","ASZ-天线罩 627418-1","-1","ASZ-天线罩 627418-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"87","12220007000","RFS-天线罩（ASA）20051895","-1","RFS-天线罩（ASA）20051895","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"88","12220001839","RFS-天线罩 1A2578","-1","RFS-天线罩 1A2578","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"89","12220001872","RFS-天线罩 30020143","-1","RFS-天线罩 30020143","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"90","12220004165","ASZ-天线罩 624286-1830","-1","ASZ-天线罩 624286-1830","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
