"id","customer_name","customer_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"131","南京上美冠丰塑胶有限公司","南京上美冠丰塑胶有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"132","南京熊猫机电仪技术有限公司","南京熊猫机电仪技术有限公司
","1","0","","1","管理员","10/3/2021 13:12:21","1","管理员","10/3/2021 13:12:21"
"133","宜兴市三鑫电子有限公司","宜兴市三鑫电子有限公司
","1","0","","1","管理员","10/3/2021 13:12:39","1","管理员","10/3/2021 13:12:39"
"134","爱立信（中国）通信有限公司","爱立信（中国）通信有限公司
","1","0","","1","管理员","10/3/2021 13:12:52","1","管理员","10/3/2021 13:12:52"
"135","中车南京浦镇车辆有限公司","中车南京浦镇车辆有限公司
","1","0","","1","管理员","10/3/2021 13:13:02","1","管理员","10/3/2021 13:13:02"
"136","南京悦控智能科技有限公司","南京悦控智能科技有限公司
","1","0","","1","管理员","10/3/2021 13:13:14","1","管理员","10/3/2021 13:13:14"
"137","夏普办公设备（常熟）有限公司","夏普办公设备（常熟）有限公司
","1","0","","1","管理员","10/3/2021 13:13:23","1","管理员","10/3/2021 13:13:23"
"138","南京熊猫汉达科技有限公司","南京熊猫汉达科技有限公司
","1","0","","1","管理员","10/3/2021 13:13:34","1","管理员","10/3/2021 13:13:34"
"139","南京熊猫通信科技有限公司","南京熊猫通信科技有限公司
","1","0","","1","管理员","10/3/2021 13:13:43","1","管理员","10/3/2021 13:14:15"
"140","2OPTOP CO,LCD（嵩创实业有限公司）","2OPTOP CO,LCD（嵩创实业有限公司）
","1","0","","1","管理员","10/3/2021 13:14:40","1","管理员","10/3/2021 13:14:40"
"141","国电南瑞科技股份有限公司","国电南瑞科技股份有限公司
","1","0","","1","管理员","10/3/2021 13:14:49","1","管理员","10/3/2021 13:14:49"
"142","常州康帕特复合材料科技有限公司","常州康帕特复合材料科技有限公司
","1","0","","1","管理员","10/3/2021 13:14:59","1","管理员","10/3/2021 13:14:59"
"143","富士康精密电子（烟台）有限公司","富士康精密电子（烟台）有限公司
","1","0","","1","管理员","10/3/2021 13:15:09","1","管理员","10/3/2021 13:15:09"
"144","深圳创维数字技术有限公司","深圳创维数字技术有限公司
","1","0","","1","管理员","10/3/2021 13:15:19","1","管理员","10/3/2021 13:15:19"
"145","九号科技有限公司","九号科技有限公司
","1","0","","1","管理员","10/3/2021 13:15:52","1","管理员","10/3/2021 13:15:52"
"146","艾迪康","艾迪康
","1","0","","1","管理员","10/3/2021 13:22:46","1","管理员","10/3/2021 13:22:46"
"147","奥捷","奥捷","1","0","","1","管理员","10/3/2021 13:23:33","1","管理员","10/3/2021 13:23:33"
"148","澳科思","澳科思","1","0","","1","管理员","10/3/2021 13:24:20","1","管理员","10/3/2021 13:24:20"
"149","常州精研","常州精研","1","0","","1","管理员","10/3/2021 13:24:54","1","管理员","10/3/2021 13:24:54"
"150","法雷奥","法雷奥","1","0","","1","管理员","10/3/2021 13:25:26","1","管理员","10/3/2021 13:25:26"
"151","华为","华为
","1","0","","1","管理员","10/3/2021 13:26:35","1","管理员","10/3/2021 13:26:35"
"152","华格自制","华格自制","1","0","","1","管理员","10/3/2021 13:26:51","1","管理员","10/3/2021 13:26:51"
"153","联慧","联慧","1","0","","1","管理员","10/3/2021 13:27:17","1","管理员","10/3/2021 13:27:17"
"154","普尔斯","普尔斯
","1","0","","1","管理员","10/3/2021 13:27:32","1","管理员","10/3/2021 13:27:32"
"155","上海力湾","上海力湾
","1","0","","1","管理员","10/3/2021 13:27:52","1","管理员","10/3/2021 13:27:52"
"156","维斯塔斯","维斯塔斯
","1","0","","1","管理员","10/3/2021 13:29:22","1","管理员","10/3/2021 13:29:22"
"157","展讯","展讯
","1","0","","1","管理员","10/3/2021 13:29:42","1","管理员","10/3/2021 13:29:42"
"158","北方通信智能科技（南京）有限公司","北方通信智能科技（南京）有限公司","1","0","","1","管理员","25/8/2021 08:45:34","1","管理员","25/8/2021 08:45:34"
"159","南京南条全兴汽车内饰系统有限公司","南京南条全兴汽车内饰系统有限公司","1","0","","1","管理员","26/9/2021 10:32:39","1","管理员","26/9/2021 10:32:39"
"160","南京华信藤仓光通讯有限公司","南京华信藤仓光通讯有限公司","1","0","","1","管理员","9/1/2023 09:13:42","1","管理员","9/1/2023 09:13:42"
"161","江苏仕航电气有限公司 ","江苏仕航电气有限公司 ","1","0","","1","管理员","10/1/2023 15:19:20","1","管理员","10/1/2023 15:19:20"
"162","宁波海德欣汽车电器有限公司","海德欣","1","0","","1","管理员","24/11/2023 16:01:43","1","管理员","24/11/2023 16:01:43"
"163","仪征浦泰汽配有限公司","浦泰","1","0","","1","管理员","24/11/2023 16:03:05","1","管理员","24/11/2023 16:03:05"
"164","苏州硕贝德通讯技术有限公司 ","","1","0","","1","管理员","11/12/2023 16:49:56","1","管理员","11/12/2023 16:49:56"
"165","南京泰宇材料科技有限公司","","1","0","","1","管理员","4/1/2024 14:44:32","1","管理员","4/1/2024 14:44:32"
"166","南京熊猫电子股份有限公司 ","","1","0","","1","管理员","20/2/2024 11:00:03","1","管理员","20/2/2024 11:00:03"
"167","江苏二郎神塑业有限公司","","1","0","","1","管理员","15/3/2024 15:38:39","1","管理员","15/3/2024 15:38:39"
"168","盐城恒鸣电气科技有限公司","盐城恒鸣电气科技有限公司","1","0","","1","管理员","11/6/2024 08:56:21","1","管理员","11/6/2024 08:56:21"
"169","南京嘉隆汽车部件有限公司","南京嘉隆汽车部件有限公司","1","0","","1","管理员","11/10/2024 14:56:04","1","管理员","11/10/2024 14:56:04"
"170","山东永基建安工程有限公司","山东永基建安工程有限公司","1","0","","1","管理员","11/10/2024 15:00:23","1","管理员","11/10/2024 15:00:23"
"171","嘉兴德鑫电子科技有限公司 ","嘉兴德鑫电子科技有限公司 
","1","0","","1","管理员","8/11/2024 10:47:07","1","管理员","8/11/2024 10:47:07"
"172","上海肇观电子科技有限公司 ","上海肇观电子科技有限公司 
","1","0","","1","管理员","22/1/2025 10:32:32","1","管理员","22/1/2025 10:32:32"
"173","合肥吉坤电子科技有限公司 ","合肥吉坤电子科技有限公司 
","1","0","","1","管理员","23/1/2025 09:02:53","1","管理员","23/1/2025 09:02:53"
